Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Haryana,"Calendar Year (Jan - Dec), 2023",Open Area,,,1475,2577,2351,4784,3826
India,Haryana,"Calendar Year (Jan - Dec), 2023",Others,,,369,780,1174,1821,1543
India,Haryana,"Calendar Year (Jan - Dec), 2023",Residential Area,,,522,715,682,1655,1204
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,28,46,132,102,160
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,217,166,377,479,594
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Open Area,,,400,498,1340,1103,1740
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Others,,,99,71,223,218,322
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,162,108,326,351,488
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,201,31,44,132,245
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,413,93,812,1196,1225
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2023",Open Area,,,1954,415,1343,2085,3297
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2023",Others,,,1521,217,1025,1660,2546
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2023",Residential Area,,,392,137,764,1225,1156
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,206,305,50,387,256
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,474,567,129,900,603
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Open Area,,,1250,1997,296,2353,1546
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Others,,,146,170,81,258,227
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Residential Area,,,836,1134,117,1417,953
