Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Kerala,"Calendar Year (Jan - Dec), 2022",Residential Area,,,3614,442,1456,4535,5070
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,2,7,15,25,17
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,10,5,26,38,36
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Open Area,,,9,23,146,161,155
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Others,,,4,17,56,81,60
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,4,10,74,69,78
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Open Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Others,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Residential Area,,,2,2,0,3,2
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,375,553,2547,2654,2922
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,729,1222,5658,6805,6387
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Open Area,,,3354,7665,22325,25689,25679
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Others,,,1341,1841,8866,8994,10207
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,1149,2146,8824,10290,9973
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,807,583,334,1418,1141
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,2016,1187,799,3422,2815
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Open Area,,,11055,9844,4033,18877,15088
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Others,,,63,148,108,250,171
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Residential Area,,,5599,3462,2425,9416,8024
India,Manipur,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,22,10,65,55,87
India,Manipur,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,35,16,139,118,174
India,Manipur,"Calendar Year (Jan - Dec), 2022",Open Area,,,68,58,208,187,276
India,Manipur,"Calendar Year (Jan - Dec), 2022",Others,,,0,0,8,3,8
India,Manipur,"Calendar Year (Jan - Dec), 2022",Residential Area,,,110,43,162,145,272
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,7,6,1,10,8
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,10,13,2,20,12
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Open Area,,,77,55,36,87,113
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Others,,,18,23,7,31,25
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Residential Area,,,99,65,53,98,152
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,0,0,0,1,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,1,0,1,1,2
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Open Area,,,25,68,38,61,63
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Others,,,2,3,1,4,3
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Residential Area,,,21,42,18,66,39
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,4,7,24,55,28
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,7,16,88,263,95
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Open Area,,,45,33,75,89,120
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Others,,,0,1,1,1,1
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Residential Area,,,10,16,37,81,47
India,Odisha,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,456,330,219,736,675
India,Odisha,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,1066,821,682,1928,1748
India,Odisha,"Calendar Year (Jan - Dec), 2022",Open Area,,,3098,3016,2417,6231,5515
India,Odisha,"Calendar Year (Jan - Dec), 2022",Others,,,635,560,275,1144,910
India,Odisha,"Calendar Year (Jan - Dec), 2022",Residential Area,,,901,740,553,1624,1454
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,15,5,12,28,27
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,456,139,504,882,960
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Open Area,,,30,8,26,48,56
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Others,,,27,4,31,50,58
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Residential Area,,,105,25,76,173,181
India,Punjab,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,285,374,88,476,373
India,Punjab,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,292,460,145,693,437
India,Punjab,"Calendar Year (Jan - Dec), 2022",Open Area,,,1197,2647,432,3331,1629
India,Punjab,"Calendar Year (Jan - Dec), 2022",Others,,,189,509,106,621,295
India,Punjab,"Calendar Year (Jan - Dec), 2022",Residential Area,,,382,766,208,1017,590
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,275,270,500,811,775
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,579,785,1683,2373,2262
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Open Area,,,4335,7704,9890,14789,14225
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Others,,,640,899,995,1977,1635
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Residential Area,,,842,1446,2554,3664,3396
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,8,0,5,9,13
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,22,6,16,29,38
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Open Area,,,57,38,89,89,146
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Others,,,24,35,24,26,48
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Residential Area,,,44,13,65,58,109
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,2921,2104,5241,7871,8162
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,4594,2997,7581,11975,12175
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Open Area,,,11105,9650,23700,32087,34805
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Others,,,128,133,287,401,415
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Residential Area,,,3984,3000,8162,11771,12146
India,Telangana,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,38,122,359,416,397
India,Telangana,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,403,655,2465,3197,2868
India,Telangana,"Calendar Year (Jan - Dec), 2022",Open Area,,,2073,4124,6799,9325,8872
India,Telangana,"Calendar Year (Jan - Dec), 2022",Others,,,429,1574,4494,5337,4923
India,Telangana,"Calendar Year (Jan - Dec), 2022",Residential Area,,,494,1084,2655,3344,3149
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,13.00000000000000000000,8.00000000000000000000,23.00000000000000000000,23.00000000000000000000,36.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,32.00000000000000000000,23.00000000000000000000,21.00000000000000000000,57.00000000000000000000,53.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Open Area,,,55.00000000000000000000,23.00000000000000000000,53.00000000000000000000,48.00000000000000000000,108.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Others,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Residential Area,,,45.00000000000000000000,36.00000000000000000000,31.00000000000000000000,68.00000000000000000000,76.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,76,24,0,81,76
India,Tripura,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,96,43,1,124,97
India,Tripura,"Calendar Year (Jan - Dec), 2022",Open Area,,,107,53,15,110,122
India,Tripura,"Calendar Year (Jan - Dec), 2022",Others,,,0,0,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2022",Residential Area,,,243,121,3,260,246
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,2162,2289,1159,4429,3321
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,3210,3618,1708,6937,4918
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Open Area,,,6490,9351,3905,16346,10395
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Others,,,2580,2969,1660,5807,4240
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,3742,4368,1925,8227,5667
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,61,42,7,73,68
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,337,181,96,408,433
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Open Area,,,584,636,230,810,814
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Others,,,7,2,4,9,11
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Residential Area,,,229,181,58,374,287
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,229,159,48,293,277
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,1597,844,257,2080,1854
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Open Area,,,4348,2408,905,5236,5253
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Others,,,1348,652,354,1772,1702
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Residential Area,,,3193,1939,564,4305,3757
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,2,3,7,10,9
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,17,4,17,37,34
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Open Area,,,4,4,6,16,10
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Residential Area,,,8,9,36,52,44
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,540,422,947,1279,1487
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,767,776,1806,2870,2573
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Open Area,,,2583,4907,8874,11747,11457
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Others,,,172,190,340,496,512
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,1535,1891,3476,5164,5011
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,27,14,16,28,43
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,78,54,40,84,118
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Open Area,,,86,56,34,105,120
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Others,,,22,17,8,31,30
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,24,16,12,35,36
India,Assam,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,530,309,60,822,590
India,Assam,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,1090,595,102,1591,1192
India,Assam,"Calendar Year (Jan - Dec), 2021",Open Area,,,1570,1013,175,2309,1745
India,Assam,"Calendar Year (Jan - Dec), 2021",Others,,,916,500,101,1210,1017
India,Assam,"Calendar Year (Jan - Dec), 2021",Residential Area,,,1106,619,113,1479,1219
India,Bihar,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,591,479,14,645,605
India,Bihar,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,1068,981,98,1330,1166
India,Bihar,"Calendar Year (Jan - Dec), 2021",Open Area,,,4608,4905,186,5900,4794
India,Bihar,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2021",Residential Area,,,1306,1295,75,1678,1381
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,0,3,7,7,7
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,1,12,21,30,22
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Open Area,,,6,79,127,160,133
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,2,2,8,11,10
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,80,184,372,508,452
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,189,370,971,1278,1160
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Open Area,,,784,3283,4866,6899,5650
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Others,,,90,339,602,619,692
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,398,1195,2331,3071,2729
India,Delhi,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,24,142,374,401,398
India,Delhi,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,29,129,625,657,654
India,Delhi,"Calendar Year (Jan - Dec), 2021",Open Area,,,63,637,1677,2129,1740
India,Delhi,"Calendar Year (Jan - Dec), 2021",Others,,,40,228,856,1000,896
India,Delhi,"Calendar Year (Jan - Dec), 2021",Residential Area,,,23,103,562,533,585
India,Goa,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,24,21,78,367,102
India,Goa,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,26,40,133,449,159
India,Goa,"Calendar Year (Jan - Dec), 2021",Open Area,,,101,86,201,1079,302
India,Goa,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,11,0
India,Goa,"Calendar Year (Jan - Dec), 2021",Residential Area,,,67,79,213,943,280
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,497,472,417,946,914
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,951,703,727,1807,1678
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Open Area,,,4792,4976,3537,9158,8329
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Others,,,221,131,98,518,319
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Residential Area,,,1388,1170,1062,2757,2450
India,Haryana,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,124,236,349,579,473
India,Haryana,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,387,511,754,1313,1141
India,Haryana,"Calendar Year (Jan - Dec), 2021",Open Area,,,582,2130,2723,4223,3305
India,Haryana,"Calendar Year (Jan - Dec), 2021",Others,,,706,1339,1643,2714,2349
India,Haryana,"Calendar Year (Jan - Dec), 2021",Residential Area,,,163,490,690,1104,853
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,61,34,70,95,131
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,256,151,357,508,613
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",Open Area,,,740,716,1463,1438,2203
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",Others,,,24,18,61,47,85
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,156,133,266,316,422
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,203,18,58,131,261
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,410,76,473,960,883
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021",Open Area,,,1692,378,1508,2199,3200
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021",Others,,,1323,188,369,1239,1692
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021",Residential Area,,,355,114,581,923,936
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,264,274,123,405,387
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,402,411,121,623,523
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",Open Area,,,1054,1715,122,2174,1176
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",Others,,,266,378,106,505,372
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",Residential Area,,,616,735,153,1021,769
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,1312,606,1131,2271,2443
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,2356,955,2304,4078,4660
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Open Area,,,12579,7192,14688,22954,27267
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Others,,,731,392,1167,1372,1898
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Residential Area,,,2355,893,2131,3972,4486
India,Kerala,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,918,123,366,1159,1284
India,Kerala,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,2430,280,975,3154,3405
India,Kerala,"Calendar Year (Jan - Dec), 2021",Open Area,,,5127,705,1959,6378,7086
India,Kerala,"Calendar Year (Jan - Dec), 2021",Others,,,15487,1980,6062,19485,21549
India,Kerala,"Calendar Year (Jan - Dec), 2021",Residential Area,,,2533,341,918,3120,3451
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,7,8,8,20,15
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,9,5,33,30,42
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Open Area,,,15,20,72,93,87
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Others,,,8,9,23,41,31
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,11,14,56,52,67
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Open Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Residential Area,,,0,1,6,4,6
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,386,590,2593,2934,2979
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,976,1084,6046,6921,7022
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Open Area,,,2380,6113,18281,20597,20661
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Others,,,1195,2033,7473,8643,8668
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,1148,2237,8478,9782,9626
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,887,694,347,1650,1234
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,1403,972,618,2446,2021
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Open Area,,,8670,8698,3688,16361,12358
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,3,0,3
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Residential Area,,,5113,3164,2342,9020,7455
India,Manipur,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,6,8,33,27,39
India,Manipur,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,24,15,64,75,88
India,Manipur,"Calendar Year (Jan - Dec), 2021",Open Area,,,61,35,66,88,127
India,Manipur,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Manipur,"Calendar Year (Jan - Dec), 2021",Residential Area,,,57,52,193,176,250
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,10,6,1,11,11
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,24,22,2,27,26
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Open Area,,,77,69,19,88,96
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Others,,,17,36,6,39,23
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Residential Area,,,38,54,69,80,107
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Open Area,,,24,36,17,35,41
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Residential Area,,,11,20,13,34,24
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,15,0,13,40,28
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,33,21,83,375,116
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Open Area,,,11,16,40,57,51
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Others,,,41,10,95,206,136
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Residential Area,,,22,8,27,68,49
India,Odisha,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,441,255,250,683,691
India,Odisha,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,999,693,590,1737,1589
India,Odisha,"Calendar Year (Jan - Dec), 2021",Open Area,,,2778,2748,1977,5610,4755
India,Odisha,"Calendar Year (Jan - Dec), 2021",Others,,,660,642,526,1290,1186
India,Odisha,"Calendar Year (Jan - Dec), 2021",Residential Area,,,869,743,692,1663,1561
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,91,22,83,139,174
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,156,46,245,409,401
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Open Area,,,92,31,103,176,195
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Others,,,40,19,57,97,97
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Residential Area,,,93,22,139,228,232
India,Punjab,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,265,451,112,589,377
India,Punjab,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,262,488,169,717,431
India,Punjab,"Calendar Year (Jan - Dec), 2021",Open Area,,,922,2305,447,2961,1369
India,Punjab,"Calendar Year (Jan - Dec), 2021",Others,,,229,542,137,659,366
India,Punjab,"Calendar Year (Jan - Dec), 2021",Residential Area,,,354,803,175,945,529
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,195,248,471,745,666
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,437,582,1356,1821,1793
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Open Area,,,3136,6892,8865,12916,12001
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Others,,,753,1022,1116,2179,1869
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Residential Area,,,655,1299,2360,3290,3015
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,15,4,16,18,31
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,36,17,32,32,68
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Open Area,,,59,26,46,88,105
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Residential Area,,,21,9,19,17,40
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,2867,1926,4239,7183,7106
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,5109,2642,5676,11084,10785
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Open Area,,,10642,8031,16808,26662,27450
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Others,,,352,222,421,760,773
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Residential Area,,,4173,2563,5709,9993,9882
India,Telangana,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,32,104,303,324,335
India,Telangana,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,349,737,2853,3414,3202
India,Telangana,"Calendar Year (Jan - Dec), 2021",Open Area,,,1305,4207,7502,9088,8807
India,Telangana,"Calendar Year (Jan - Dec), 2021",Others,,,340,1364,3624,4500,3964
India,Telangana,"Calendar Year (Jan - Dec), 2021",Residential Area,,,544,1145,3255,3989,3799
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,10.00000000000000000000,7.00000000000000000000,3.00000000000000000000,15.00000000000000000000,13.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,12.00000000000000000000,13.00000000000000000000,4.00000000000000000000,17.00000000000000000000,16.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",Open Area,,,15.00000000000000000000,11.00000000000000000000,6.00000000000000000000,20.00000000000000000000,21.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",Others,,,8.00000000000000000000,5.00000000000000000000,4.00000000000000000000,11.00000000000000000000,12.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",Residential Area,,,56.00000000000000000000,40.00000000000000000000,53.00000000000000000000,77.00000000000000000000,109.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,79,26,0,77,79
India,Tripura,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,90,32,3,90,93
India,Tripura,"Calendar Year (Jan - Dec), 2021",Open Area,,,172,62,2,135,174
India,Tripura,"Calendar Year (Jan - Dec), 2021",Others,,,0,0,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2021",Residential Area,,,198,74,3,177,201
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,1533,1900,870,3604,2403
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,2733,3355,1361,6047,4094
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",Open Area,,,5932,8449,3117,14355,9049
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",Others,,,2958,3774,1868,6927,4826
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",Residential Area,,,2990,3749,1535,6796,4525
